Date,compound,neg,neu,pos,Close,Y-ENN
12-Nov-14,-0.9681,0.149,0.7609999999999999,0.09,215.15,113.8834429404879
13-Nov-14,-0.9723,0.111,0.8340000000000001,0.055,213.11,114.23422931079968
14-Nov-14,-0.9906,0.196,0.7440000000000001,0.061,211.85,114.49084539930202
17-Nov-14,-0.9802,0.182,0.7170000000000001,0.10099999999999999,214.48,113.8623717812448
18-Nov-14,-0.995,0.212,0.752,0.036000000000000004,213.21,114.86664531672645
19-Nov-14,-0.9927,0.193,0.75,0.057,211.76,114.53025406166479
20-Nov-14,-0.9893,0.16,0.7879999999999999,0.052000000000000005,207.0,114.4719688712501
21-Nov-14,-0.7761,0.09699999999999999,0.81,0.09300000000000001,209.49,113.62243678069176
24-Nov-14,-0.9842,0.161,0.794,0.045,209.65,114.5711923323417
25-Nov-14,-0.993,0.16899999999999998,0.79,0.040999999999999995,208.7,114.65172387127771
26-Nov-14,-0.9841,0.145,0.815,0.04,208.58,114.57692721112333
27-Nov-14,-0.9679,0.184,0.7340000000000001,0.08199999999999999,207.44,114.15390724572174
28-Nov-14,-0.9922,0.18100000000000002,0.7759999999999999,0.043,204.75,114.66992821527093
1-Dec-14,-0.8999,0.10800000000000001,0.8170000000000001,0.075,201.56,113.93839445753893
2-Dec-14,-0.8979,0.113,0.8140000000000001,0.073,201.43,113.99207272335346
3-Dec-14,-0.9854,0.156,0.804,0.040999999999999995,201.15,114.60729172392332
4-Dec-14,-0.985,0.16899999999999998,0.7659999999999999,0.065,204.39,114.32966432670794
5-Dec-14,-0.9971,0.251,0.7090000000000001,0.04,205.98,114.94596028663246
8-Dec-14,-0.8478,0.134,0.7609999999999999,0.105,209.6,113.59806604241611
9-Dec-14,-0.2815,0.125,0.75,0.125,208.91,113.29517659580513
10-Dec-14,-0.9913,0.22,0.72,0.06,208.03,114.59092714684192
11-Dec-14,-0.3382,0.09,0.8240000000000001,0.085,208.0,113.79100678194062
12-Dec-14,0.7506,0.078,0.8079999999999999,0.114,207.38,113.38448668330308
15-Dec-14,-0.9129999999999999,0.132,0.78,0.08800000000000001,208.03,113.84646516448039
16-Dec-14,-0.99,0.17600000000000002,0.7909999999999999,0.033,207.63,114.78083538556702
17-Dec-14,-0.9851,0.187,0.74,0.073,207.99,114.29026831831028
18-Dec-14,-0.9972,0.257,0.6970000000000001,0.045,211.01,114.90330606138747
19-Dec-14,-0.9985,0.297,0.6509999999999999,0.052000000000000005,215.13,114.94792599177882
22-Dec-14,-0.9853,0.182,0.7509999999999999,0.067,222.42,114.35374098804384
23-Dec-14,0.1719,0.099,0.797,0.10400000000000001,224.84,113.59873982712729
24-Dec-14,-0.9945,0.205,0.71,0.085,221.72,114.1920690840836
26-Dec-14,-0.9946,0.21899999999999997,0.723,0.057999999999999996,218.56,114.61255170619802
29-Dec-14,-0.9946,0.22399999999999998,0.733,0.043,216.65,114.8207584599088
30-Dec-14,-0.9873,0.134,0.838,0.028999999999999998,217.64,114.68219339692214
31-Dec-14,-0.9937,0.23199999999999998,0.667,0.102,216.26,114.06240499772275
1-Jan-15,-0.9793,0.153,0.7879999999999999,0.059000000000000004,216.03,114.35013384028942
2-Jan-15,-0.9938,0.247,0.669,0.084,218.8,114.37124179076537
5-Jan-15,-0.9853,0.235,0.7070000000000001,0.057999999999999996,220.02,114.67203936283856
6-Jan-15,-0.9906,0.17300000000000001,0.774,0.053,218.46,114.50836214439764
7-Jan-15,-0.9806,0.135,0.807,0.057999999999999996,219.57,114.2902883191774
8-Jan-15,-0.9361,0.165,0.708,0.126,215.99,113.39178653177972
9-Jan-15,-0.9927,0.16899999999999998,0.795,0.036000000000000004,217.54,114.71665982736464
12-Jan-15,-0.9924,0.198,0.75,0.053,217.82,114.60387582976011
13-Jan-15,-0.9877,0.155,0.8,0.045,217.1,114.54745823542625
14-Jan-15,-0.7574,0.142,0.736,0.122,217.96,113.3706915524491
15-Jan-15,-0.9942,0.19399999999999998,0.7659999999999999,0.04,218.01,114.75458822560535
16-Jan-15,-0.4694,0.142,0.718,0.139,215.7,113.10934673304791
19-Jan-15,-0.995,0.19699999999999998,0.764,0.039,215.71,114.77759320340687
20-Jan-15,-0.9968,0.225,0.755,0.019,213.69,115.11031715288263
21-Jan-15,-0.9954,0.183,0.77,0.046,213.88,114.63529040073273
22-Jan-15,-0.9886,0.136,0.7929999999999999,0.071,212.82,114.10561295802769
23-Jan-15,-0.9699,0.128,0.809,0.062,212.36,114.20348061987993
26-Jan-15,-0.993,0.191,0.7070000000000001,0.10099999999999999,215.42,113.89715087276235
27-Jan-15,-0.9715,0.146,0.774,0.08,211.36,114.01980378294189
28-Jan-15,-0.9896,0.17300000000000001,0.7559999999999999,0.07200000000000001,206.43,114.24903180785113
29-Jan-15,-0.8187,0.11599999999999999,0.79,0.094,207.95,113.69256849314519
30-Jan-15,-0.9923,0.18,0.769,0.051,210.47,114.56122294101
2-Feb-15,-0.9716,0.134,0.789,0.078,211.53,113.99937622626827
3-Feb-15,-0.995,0.205,0.72,0.075,212.76,114.33184731312575
4-Feb-15,-0.9956,0.18899999999999997,0.76,0.05,212.91,114.60499623537216
6-Feb-15,0.6705,0.08800000000000001,0.797,0.115,210.42,113.41162872648148
9-Feb-15,-0.9907,0.185,0.773,0.042,208.09,114.69775756169669
10-Feb-15,-0.9907,0.149,0.807,0.043,204.36,114.54826498532249
11-Feb-15,-0.9813,0.133,0.807,0.06,203.71,114.2533806209745
12-Feb-15,0.2283,0.09699999999999999,0.802,0.102,197.91,113.63657186635554
13-Feb-15,-0.9823,0.141,0.797,0.063,201.84,114.24628556794512
16-Feb-15,-0.9826,0.154,0.768,0.078,202.48,114.08188847752682
17-Feb-15,-0.9898,0.174,0.7390000000000001,0.087,202.48,114.03440378379068
18-Feb-15,-0.9939,0.182,0.767,0.051,204.41,114.56833938219768
19-Feb-15,-0.6369,0.129,0.74,0.131,205.49,113.1635453443993
20-Feb-15,-0.9512,0.12300000000000001,0.7979999999999999,0.079,205.05,113.9361286213196
23-Feb-15,-0.9734,0.133,0.785,0.08199999999999999,203.99,113.93165697802226
24-Feb-15,-0.9862,0.15,0.7809999999999999,0.069,204.44,114.19471526280637
25-Feb-15,-0.9654,0.135,0.778,0.087,203.68,113.86612813608247
26-Feb-15,-0.9956,0.195,0.737,0.067,203.23,114.40014097195679
27-Feb-15,-0.9857,0.141,0.784,0.075,203.71,114.06912868711822
2-Mar-15,-0.9945,0.188,0.765,0.048,202.85,114.63200484768906
3-Mar-15,-0.9966,0.22699999999999998,0.721,0.051,200.91,114.72827038803402
4-Mar-15,-0.9928,0.16899999999999998,0.7909999999999999,0.04,200.2,114.66481662523364
5-Mar-15,-0.9514,0.091,0.858,0.051,202.61,114.21078864842242
6-Mar-15,-0.9799,0.16699999999999998,0.758,0.076,201.89,114.16923536545204
9-Mar-15,-0.9415,0.129,0.764,0.106,200.26,113.53964753450421
10-Mar-15,-0.9209999999999999,0.135,0.76,0.106,198.9,113.57830891979984
11-Mar-15,-0.9794,0.146,0.773,0.081,197.69,114.00339049634599
12-Mar-15,-0.995,0.17800000000000002,0.755,0.067,196.01,114.33565830591431
13-Mar-15,-0.9967,0.218,0.706,0.076,199.97,114.36840196732845
16-Mar-15,-0.9938,0.185,0.7559999999999999,0.057999999999999996,189.55,114.48403408686954
17-Mar-15,-0.9853,0.14300000000000002,0.789,0.068,185.25,114.17980088083716
18-Mar-15,-0.9956,0.19399999999999998,0.754,0.052000000000000005,187.64,114.59934650978495
19-Mar-15,-0.9895,0.18899999999999997,0.725,0.086,188.28,114.11270965920582
20-Mar-15,-0.9716,0.129,0.7859999999999999,0.085,190.16,113.86818602548605
