Date,compound,neg,neu,pos,Close
25-Jul-12,-0.9682,0.17,0.759,0.07,114.5
26-Jul-12,-0.993,0.214,0.7,0.086,114.56
27-Jul-12,-0.9413,0.154,0.784,0.062,113.75
30-Jul-12,-0.949,0.148,0.775,0.077,113.27
31-Jul-12,-0.9897,0.197,0.778,0.025,114.07
1-Aug-12,-0.9796,0.137,0.83,0.034,116.42
2-Aug-12,-0.9747,0.165,0.744,0.091,115.98
3-Aug-12,-0.9287,0.173,0.721,0.106,116.53
6-Aug-12,-0.9643,0.122,0.863,0.015,119.32
7-Aug-12,-0.9776,0.185,0.71,0.105,120.07
8-Aug-12,-0.9698,0.16,0.802,0.038,117.21
9-Aug-12,-0.9875,0.197,0.76,0.043,118.16
10-Aug-12,-0.9409,0.172,0.727,0.102,117.87
13-Aug-12,-0.808,0.131,0.745,0.124,114.97
15-Aug-12,-0.9652,0.159,0.756,0.085,115.06
16-Aug-12,-0.98,0.187,0.72,0.093,114.86
23-Aug-12,-0.9812,0.184,0.759,0.057,115.47
24-Aug-12,-0.8316,0.157,0.731,0.112,116.73
27-Aug-12,-0.9629,0.154,0.791,0.055,115.66
28-Aug-12,-0.9764,0.166,0.749,0.085,114.89
29-Aug-12,-0.9746,0.185,0.727,0.088,114.55
30-Aug-12,-0.9678,0.162,0.771,0.067,114.93
31-Aug-12,-0.9719,0.139,0.824,0.037,114.98
3-Sep-12,-0.9882,0.19,0.754,0.056,114.73
4-Sep-12,-0.6808,0.104,0.799,0.097,114.32
5-Sep-12,-0.9381,0.151,0.762,0.088,113.98
6-Sep-12,0.8767,0.102,0.731,0.167,112.98
7-Sep-12,-0.9477,0.147,0.765,0.088,112.06
10-Sep-12,-0.9618,0.168,0.761,0.071,111.35
11-Sep-12,-0.7845,0.102,0.84,0.058,111.04
12-Sep-12,-0.9081,0.134,0.766,0.101,111
13-Sep-12,-0.9601,0.173,0.77,0.058,109.64
14-Sep-12,-0.9944,0.23,0.746,0.024,107.51
17-Sep-12,-0.981,0.208,0.704,0.088,107.09
18-Sep-12,-0.9799,0.201,0.786,0.013,107.67
19-Sep-12,-0.9925,0.198,0.793,0.01,108.33
20-Sep-12,-0.9118,0.124,0.834,0.041,107.64
24-Sep-12,-0.4809,0.069,0.879,0.052,106.41
25-Sep-12,-0.9732,0.159,0.768,0.074,106.91
26-Sep-12,-0.9883,0.209,0.761,0.03,106.49
27-Sep-12,-0.9219,0.146,0.768,0.086,107
28-Sep-12,-0.9831,0.206,0.719,0.076,106.71
1-Oct-12,-0.9898,0.189,0.772,0.039,106.95
2-Oct-12,-0.975,0.141,0.826,0.034,107.04
3-Oct-12,-0.969,0.177,0.763,0.06,106.74
4-Oct-12,0.7708,0.105,0.769,0.126,107.1
5-Oct-12,-0.8126,0.085,0.866,0.048,106.64
8-Oct-12,-0.5475,0.093,0.831,0.076,107.49
9-Oct-12,-0.7399,0.129,0.76,0.112,107.39
10-Oct-12,-0.9428,0.169,0.723,0.108,107.1
11-Oct-12,-0.9893,0.172,0.748,0.081,107.18
12-Oct-12,-0.9837,0.188,0.753,0.059,106.83
15-Oct-12,-0.9783,0.167,0.784,0.049,106.95
16-Oct-12,-0.9075,0.145,0.761,0.094,105.77
17-Oct-12,-0.9802,0.183,0.74,0.077,105.94
18-Oct-12,-0.9923,0.234,0.747,0.019,105.72
19-Oct-12,-0.975,0.177,0.738,0.085,105.18
22-Oct-12,-0.8365,0.12,0.788,0.091,105.28
23-Oct-12,-0.975,0.15,0.817,0.033,105.93
24-Oct-12,-0.9674,0.163,0.773,0.064,106.39
25-Oct-12,-0.9657,0.141,0.804,0.055,105.95
30-Oct-12,-0.995,0.325,0.627,0.049,106.37
31-Oct-12,0.8746,0.033,0.864,0.103,105.72
1-Nov-12,-0.9652,0.15,0.749,0.101,105.73
2-Nov-12,-0.9175,0.14,0.765,0.095,105.65
5-Nov-12,-0.9638,0.211,0.687,0.101,106.06
6-Nov-12,-0.7997,0.128,0.779,0.093,105.54
7-Nov-12,-0.7537,0.118,0.776,0.106,106.42
8-Nov-12,-0.9403,0.13,0.804,0.065,106.37
12-Nov-12,-0.9911,0.237,0.681,0.083,107.29
13-Nov-12,-0.9878,0.227,0.66,0.113,107.97
14-Nov-12,-0.5574,0.123,0.742,0.135,107.45
15-Nov-12,-0.9201,0.179,0.735,0.086,110.01
16-Nov-12,-0.9432,0.13,0.808,0.061,109.32
19-Nov-12,-0.9559,0.176,0.736,0.088,108.62
